Transaction ID,Country,Amount (USD),Transaction Type,Date of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Tax Haven Country,Amount (IND),Category_Risk Score,Category_Amt (IND),
TX0000000001,Brazil,3267530,Offshore Transfer,1/1/13 0:00,Person_1101,Construction,USA,TRUE,Illegal,6,1,Bank_40,Singapore,290810170,Medium Risk,Large Transaction,
TX0000000002,China,4965767,Stocks Transfer,1/1/13 1:00,Person_7484,Luxury Goods,South Africa,FALSE,Illegal,9,0,Bank_461,Bahamas,441953263,Large Risk,Large Transaction,
TX0000000003,UK,94168,Stocks Transfer,1/1/13 2:00,Person_3655,Construction,Switzerland,TRUE,Illegal,1,3,Bank_387,Switzerland,8380952,Less Risk,Medium Transaction,
TX0000000004,UAE,386420,Cash Withdrawal,1/1/13 3:00,Person_3226,Oil & Gas,Russia,FALSE,Illegal,7,2,Bank_353,Panama,34391380,Medium Risk,Large Transaction,
TX0000000005,South Africa,643378,Cryptocurrency,1/1/13 4:00,Person_7975,Real Estate,USA,TRUE,Illegal,1,9,Bank_57,Luxembourg,57260642,Less Risk,Large Transaction,
TX0000000006,Russia,4921056,Property Purchase,1/1/13 5:00,Person_4000,Arms Trade,Brazil,FALSE,Legal,7,3,Bank_436,Cayman Islands,437973984,Medium Risk,Large Transaction,
TX0000000007,Switzerland,3262818,Property Purchase,1/1/13 6:00,Person_2517,Oil & Gas,Brazil,FALSE,Legal,7,8,Bank_452,Panama,290390802,Medium Risk,Large Transaction,
TX0000000008,UAE,4687205,Property Purchase,1/1/13 7:00,Person_4310,Real Estate,UK,FALSE,Illegal,3,5,Bank_88,Luxembourg,417161245,Less Risk,Large Transaction,
TX0000000009,Brazil,903906,Cryptocurrency,1/1/13 8:00,Person_8955,Arms Trade,India,FALSE,Illegal,3,6,Bank_87,Panama,80447634,Less Risk,Large Transaction,
TX0000000010,China,4174995,Offshore Transfer,1/1/13 9:00,Person_9585,Arms Trade,China,FALSE,Illegal,9,0,Bank_404,Switzerland,371574555,Large Risk,Large Transaction,
TX0000000011,South Africa,2675519,Offshore Transfer,1/1/13 10:00,Person_3241,Casinos,South Africa,TRUE,Legal,8,1,Bank_273,Cayman Islands,238121191,Medium Risk,Large Transaction,
TX0000000012,Switzerland,3370300,Stocks Transfer,1/1/13 11:00,Person_9098,Arms Trade,UK,FALSE,Legal,9,1,Bank_252,Switzerland,299956700,Large Risk,Large Transaction,
TX0000000013,Brazil,729588,Stocks Transfer,1/1/13 12:00,Person_643,Real Estate,Brazil,FALSE,Illegal,5,7,Bank_190,Cayman Islands,64933332,Medium Risk,Large Transaction,
TX0000000014,South Africa,2973517,Property Purchase,1/1/13 13:00,Person_3269,Real Estate,Singapore,FALSE,Illegal,6,3,Bank_267,Luxembourg,264643013,Medium Risk,Large Transaction,
TX0000000015,UK,3669888,Stocks Transfer,1/1/13 14:00,Person_778,Construction,China,FALSE,Legal,1,5,Bank_164,Switzerland,326620032,Less Risk,Large Transaction,
TX0000000016,China,3740051,Offshore Transfer,1/1/13 15:00,Person_5538,Real Estate,Brazil,TRUE,Illegal,3,6,Bank_211,Panama,332864539,Less Risk,Large Transaction,
TX0000000017,Switzerland,3865496,Stocks Transfer,1/1/13 16:00,Person_8463,Real Estate,South Africa,TRUE,Illegal,6,1,Bank_311,Switzerland,344029144,Medium Risk,Large Transaction,
TX0000000018,India,2168678,Cash Withdrawal,1/1/13 17:00,Person_5269,Oil & Gas,South Africa,FALSE,Illegal,9,6,Bank_439,Cayman Islands,193012342,Large Risk,Large Transaction,
TX0000000019,South Africa,1486877,Cryptocurrency,1/1/13 18:00,Person_2149,Luxury Goods,UK,FALSE,Illegal,5,4,Bank_50,Cayman Islands,132332053,Medium Risk,Large Transaction,
TX0000000020,UAE,4311216,Cash Withdrawal,1/1/13 19:00,Person_8310,Construction,UK,FALSE,Legal,6,5,Bank_337,Bahamas,383698224,Medium Risk,Large Transaction,
TX0000000021,Switzerland,4207603,Stocks Transfer,1/1/13 20:00,Person_4043,Luxury Goods,UAE,FALSE,Illegal,4,5,Bank_409,Bahamas,374476667,Less Risk,Large Transaction,
TX0000000022,USA,2669181,Property Purchase,1/1/13 21:00,Person_6311,Oil & Gas,Singapore,TRUE,Illegal,1,7,Bank_380,Switzerland,237557109,Less Risk,Large Transaction,
TX0000000023,Brazil,970553,Offshore Transfer,1/1/13 22:00,Person_9762,Luxury Goods,Switzerland,FALSE,Legal,3,2,Bank_471,Luxembourg,86379217,Less Risk,Large Transaction,
TX0000000024,UK,2556051,Cash Withdrawal,1/1/13 23:00,Person_5,Casinos,Singapore,FALSE,Illegal,8,5,Bank_490,Luxembourg,227488539,Medium Risk,Large Transaction,
TX0000000025,USA,1001674,Property Purchase,1/2/13 0:00,Person_587,Real Estate,USA,FALSE,Illegal,10,1,Bank_209,Luxembourg,89148986,Large Risk,Large Transaction,
TX0000000026,Brazil,4386549,Property Purchase,1/2/13 1:00,Person_1879,Construction,UAE,FALSE,Illegal,4,9,Bank_405,Panama,390402861,Less Risk,Large Transaction,
TX0000000027,UAE,870064,Stocks Transfer,1/2/13 2:00,Person_4729,Oil & Gas,Russia,FALSE,Legal,2,8,Bank_287,Luxembourg,77435696,Less Risk,Large Transaction,
TX0000000028,Russia,2998827,Property Purchase,1/2/13 3:00,Person_516,Real Estate,China,FALSE,Legal,6,4,Bank_323,Luxembourg,266895603,Medium Risk,Large Transaction,
TX0000000029,USA,3747603,Offshore Transfer,1/2/13 4:00,Person_160,Luxury Goods,USA,FALSE,Illegal,9,7,Bank_266,Singapore,333536667,Large Risk,Large Transaction,
TX0000000030,India,1930397,Offshore Transfer,1/2/13 5:00,Person_7905,Construction,Switzerland,FALSE,Illegal,9,9,Bank_461,Bahamas,171805333,Large Risk,Large Transaction,
TX0000000031,Brazil,1452528,Property Purchase,1/2/13 6:00,Person_8714,Construction,China,FALSE,Illegal,1,8,Bank_38,Luxembourg,129274992,Less Risk,Large Transaction,
TX0000000032,South Africa,3292071,Offshore Transfer,1/2/13 7:00,Person_5732,Arms Trade,India,FALSE,Legal,2,3,Bank_494,Singapore,292994319,Less Risk,Large Transaction,
TX0000000033,UK,4291183,Cash Withdrawal,1/2/13 8:00,Person_9688,Casinos,South Africa,FALSE,Illegal,9,7,Bank_113,Cayman Islands,381915287,Large Risk,Large Transaction,
TX0000000034,UAE,4862728,Cryptocurrency,1/2/13 9:00,Person_9219,Luxury Goods,UAE,FALSE,Legal,8,9,Bank_135,Bahamas,432782792,Medium Risk,Large Transaction,
TX0000000035,Brazil,2332845,Stocks Transfer,1/2/13 10:00,Person_9853,Real Estate,Russia,FALSE,Legal,9,8,Bank_342,Bahamas,207623205,Large Risk,Large Transaction,
TX0000000036,Russia,4907863,Offshore Transfer,1/2/13 11:00,Person_8363,Luxury Goods,USA,TRUE,Legal,7,9,Bank_285,Singapore,436799807,Medium Risk,Large Transaction,
TX0000000037,China,4071726,Stocks Transfer,1/2/13 12:00,Person_4599,Construction,USA,FALSE,Illegal,4,6,Bank_390,Singapore,362383614,Less Risk,Large Transaction,Column1
TX0000000038,Switzerland,3260777,Cryptocurrency,1/2/13 13:00,Person_3680,Real Estate,Singapore,FALSE,Legal,4,6,Bank_343,Luxembourg,290209153,Less Risk,Large Transaction,
TX0000000039,USA,45712,Offshore Transfer,1/2/13 14:00,Person_4804,Oil & Gas,USA,FALSE,Illegal,1,8,Bank_118,Bahamas,4068368,Less Risk,Medium Transaction,
TX0000000040,UK,576322,Cryptocurrency,1/2/13 15:00,Person_8600,Luxury Goods,China,FALSE,Illegal,2,5,Bank_2,Cayman Islands,51292658,Less Risk,Large Transaction,
TX0000000041,South Africa,2854183,Cash Withdrawal,1/2/13 16:00,Person_6246,Construction,China,FALSE,Illegal,5,7,Bank_296,Switzerland,254022287,Medium Risk,Large Transaction,
TX0000000042,India,3746204,Cash Withdrawal,1/2/13 17:00,Person_2936,Arms Trade,China,FALSE,Illegal,7,2,Bank_433,Singapore,333412156,Medium Risk,Large Transaction,
TX0000000043,UK,292202,Cash Withdrawal,1/2/13 18:00,Person_4033,Real Estate,UK,FALSE,Illegal,10,1,Bank_45,Switzerland,26005978,Large Risk,Large Transaction,
TX0000000044,UAE,2264995,Property Purchase,1/2/13 19:00,Person_2537,Casinos,Singapore,FALSE,Illegal,5,0,Bank_247,Cayman Islands,201584555,Medium Risk,Large Transaction,
TX0000000045,Russia,4688572,Cash Withdrawal,1/2/13 20:00,Person_943,Finance,China,FALSE,Legal,9,6,Bank_190,Cayman Islands,417282908,Large Risk,Large Transaction,
TX0000000046,Switzerland,587177,Stocks Transfer,1/2/13 21:00,Person_479,Real Estate,China,FALSE,Legal,6,3,Bank_76,Bahamas,52258753,Medium Risk,Large Transaction,
TX0000000047,China,1724209,Property Purchase,1/2/13 22:00,Person_21,Luxury Goods,South Africa,FALSE,Illegal,7,9,Bank_466,Luxembourg,153454601,Medium Risk,Large Transaction,
TX0000000048,Singapore,84888,Property Purchase,1/2/13 23:00,Person_7362,Finance,South Africa,FALSE,Legal,3,2,Bank_191,Luxembourg,7555032,Less Risk,Medium Transaction,
TX0000000049,UAE,270522,Cash Withdrawal,1/3/13 0:00,Person_4829,Construction,China,FALSE,Legal,1,0,Bank_71,Switzerland,24076458,Less Risk,Large Transaction,
TX0000000050,Russia,1473322,Cash Withdrawal,1/3/13 1:00,Person_2327,Oil & Gas,South Africa,FALSE,Illegal,8,1,Bank_287,Bahamas,131125658,Medium Risk,Large Transaction,
